mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
0.010872364044189453,0.005243034809609868,0.0014865398406982422,5.007607529542655e-05,False,linear,scale,3,0.0,balanced,2.7,"{'shrinking': False, 'kernel': 'linear', 'gamma': 'scale', 'degree': 3, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 2.7}",0.8617886178861789,0.9298245614035088,0.8253968253968255,0.8032786885245902,0.8739495798319328,0.858847654608607,0.04354608288979737,122,SVC(random_state=0)
0.00973806381225586,0.0012790731305657166,0.0056951045989990234,0.0021368794807083984,True,rbf,scale,4,1.6,balanced,2.5,"{'shrinking': True, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'coef0': 1.6, 'class_weight': 'balanced', 'C': 2.5}",0.8688524590163935,0.9217391304347826,0.832,0.8099173553719008,0.8666666666666666,0.8598351222979487,0.0380175382464088,110,SVC(random_state=0)
0.01221933364868164,0.005195897159344997,0.0015040874481201173,4.721087621851932e-05,False,poly,auto,3,1.8,balanced,2.2,"{'shrinking': False, 'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'coef0': 1.8, 'class_weight': 'balanced', 'C': 2.2}",0.8760330578512397,0.9380530973451328,0.8387096774193548,0.8305084745762712,0.8739495798319328,0.8714507774047864,0.0379772619293545,12,SVC(random_state=0)
0.008913898468017578,0.002015250516616557,0.0018563270568847656,0.0007161358345984827,False,poly,auto,4,1.2000000000000002,balanced,2.0,"{'shrinking': False, 'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'coef0': 1.2000000000000002, 'class_weight': 'balanced', 'C': 2.0}",0.8760330578512397,0.9380530973451328,0.8387096774193548,0.8166666666666668,0.8739495798319328,0.8686824158228653,0.041226374125012316,40,SVC(random_state=0)
0.03332962989807129,0.006981559489005892,0.011436176300048829,0.004364937454952234,False,sigmoid,scale,4,1.0,balanced,1.9000000000000001,"{'shrinking': False, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.9000000000000001}",0.4141414141414142,0.4727272727272727,0.3474178403755868,0.36633663366336633,0.4245810055865922,0.40504083329884644,0.04441737806323566,949,SVC(random_state=0)
0.01186823844909668,0.003508145850549433,0.0014127254486083984,5.9891696181339424e-05,True,poly,scale,3,1.0,balanced,1.5,"{'shrinking': True, 'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.5}",0.8833333333333333,0.9298245614035088,0.8387096774193548,0.8166666666666668,0.8739495798319328,0.8684967637309594,0.03894761928793917,43,SVC(random_state=0)
0.010514783859252929,0.0035830174325827313,0.0014251708984375,6.74141507230468e-05,True,linear,auto,3,0.8,balanced,2.4000000000000004,"{'shrinking': True, 'kernel': 'linear', 'gamma': 'auto', 'degree': 3, 'coef0': 0.8, 'class_weight': 'balanced', 'C': 2.4000000000000004}",0.8617886178861789,0.9217391304347826,0.8253968253968255,0.7967479674796748,0.8666666666666666,0.8544678415728256,0.04220080390581104,190,SVC(random_state=0)
0.03571610450744629,0.009763144299795131,0.005905961990356446,0.001112609042839966,False,sigmoid,scale,2,1.4000000000000001,balanced,2.9000000000000004,"{'shrinking': False, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 2, 'coef0': 1.4000000000000001, 'class_weight': 'balanced', 'C': 2.9000000000000004}",0.3939393939393939,0.4161849710982659,0.32407407407407407,0.35922330097087374,0.37755102040816324,0.37419455209815417,0.03130661471425809,974,SVC(random_state=0)
0.013026714324951172,0.0038371315175971883,0.0020953655242919923,0.0010060410282558406,False,linear,scale,4,1.0,balanced,1.8,"{'shrinking': False, 'kernel': 'linear', 'gamma': 'scale', 'degree': 4, 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.8}",0.8617886178861789,0.9137931034482758,0.8253968253968255,0.7967479674796748,0.8666666666666666,0.8528786361755243,0.0397139063149205,255,SVC(random_state=0)
0.01057276725769043,0.0032321391353849578,0.0016927719116210938,0.0005973395054767269,False,poly,scale,3,1.2000000000000002,balanced,1.0,"{'shrinking': False, 'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'coef0': 1.2000000000000002, 'class_weight': 'balanced', 'C': 1.0}",0.8833333333333333,0.9298245614035088,0.8387096774193548,0.8166666666666668,0.8739495798319328,0.8684967637309594,0.03894761928793917,43,SVC(random_state=0)
0.03862771987915039,0.021881389323329687,0.006666946411132813,0.0027602698709976808,False,poly,auto,3,0.0,balanced,1.5,"{'shrinking': False, 'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 1.5}",0.6751592356687898,0.7210884353741497,0.65,0.6282051282051283,0.6933333333333334,0.6735572265162802,0.0324488286137369,819,SVC(random_state=0)
0.027460622787475585,0.002332228530068785,0.004332733154296875,0.00025582139778080384,False,sigmoid,scale,4,0.4,balanced,0.6000000000000001,"{'shrinking': False, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'coef0': 0.4, 'class_weight': 'balanced', 'C': 0.6000000000000001}",0.46153846153846156,0.471264367816092,0.4226804123711341,0.4888888888888889,0.46994535519125685,0.46286349716116665,0.021974914689913663,896,SVC(random_state=0)
