title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length,gm_predicted,gm_predicted_prob
Diary of a Chambermaid,https://www.rogerebert.com/reviews/diary-of-a-chambermaid-2016,Glenn Kenny,3.5,False,2016,-0.15748031496062986,-0.07507507507507505,-0.12396694214876036,0.9397849462365594,-0.5215527798187608,False,0.0
De Palma,https://www.rogerebert.com/reviews/de-palma-2016,Peter Sobczynski,4.0,False,2016,-0.5669291338582677,0.2612612612612608,-0.1570247933884299,0.9982995748937237,-0.08621111927504288,True,0.9998685
The Witness,https://www.rogerebert.com/reviews/the-witness-2016,Matt Zoller Seitz,3.5,False,2016,0.27559055118110254,-0.18918918918918948,-0.4297520661157026,-0.9990997749437359,-0.23781533186382564,False,0.14999449
The Fits,https://www.rogerebert.com/reviews/the-fits-2016,Sheila O'Malley,3.5,False,2016,-0.4881889763779528,0.33333333333333304,-0.33884297520661155,0.9910977744436111,-0.2890031839333823,False,0.1390319
Weiner,https://www.rogerebert.com/reviews/weiner-2016,Odie Henderson,3.5,False,2016,-0.22047244094488183,0.009009009009009361,-0.17355371900826455,0.963890972743186,-0.33296595640460447,False,0.12366005
Almost Holy,https://www.rogerebert.com/reviews/almost-holy-2016,Odie Henderson,3.5,False,2016,-0.5275590551181102,0.051051051051051566,0.0826446280991735,0.9975993998499627,-0.4931422973303944,False,0.0
Pervert Park,https://www.rogerebert.com/reviews/pervert-park-2016,Nick Allen,4.0,False,2016,0.007874015748031482,-0.033033033033032844,-0.3553719008264463,-0.9817954488622155,-0.43705608621111935,False,3.4809078e-12
Love & Friendship,https://www.rogerebert.com/reviews/love-and-friendship-2016,Matt Zoller Seitz,3.5,False,2016,-0.5669291338582677,-0.11111111111111072,0.3553719008264462,0.9993998499624908,-0.36186627479794276,False,0.0
High-Rise,https://www.rogerebert.com/reviews/high-rise-2016,Glenn Kenny,3.5,False,2016,-0.6062992125984252,0.18318318318318383,-0.008264462809917328,0.9945986496624157,-0.5644134215037963,False,0.0
The Lobster,https://www.rogerebert.com/reviews/the-lobster-2016,Sheila O'Malley,3.5,False,2016,-0.3779527559055118,0.06306306306306286,-0.0826446280991735,0.996599149787447,-0.224834680382072,False,0.1385269
Kill Zone 2,https://www.rogerebert.com/reviews/kill-zone-2-2016,Simon Abrams,3.5,False,2016,0.5118110236220472,-0.483483483483484,-0.2644628099173554,-0.9984996249062265,-0.4540778839088906,False,0.0
Sunset Song,https://www.rogerebert.com/reviews/sunset-song-2016,Matt Zoller Seitz,4.0,False,2016,-0.15748031496062986,0.009009009009009361,-0.24793388429752072,0.5064766191547888,-0.2727161400930689,False,0.13214563
A Monster with a Thousand Heads,https://www.rogerebert.com/reviews/a-monster-with-a-thousand-heads-2016,Godfrey Cheshire,4.0,False,2016,-0.4409448818897638,0.25525525525525516,-0.28099173553719015,0.9721930482620657,-0.46326230712711247,False,0.00015598116
A Light Beneath Their Feet,https://www.rogerebert.com/reviews/a-light-beneath-their-feet-2016,Matt Fagerholm,4.0,False,2016,-0.3307086614173228,0.03903903903903938,-0.09917355371900838,0.9969992498124534,-0.17879010531471962,False,0.14904892
Dark Horse,https://www.rogerebert.com/reviews/dark-horse-2016,Godfrey Cheshire,3.5,False,2016,-0.8740157480314961,0.20720720720720642,0.2396694214876034,0.9990997749437361,-0.5230222875336763,False,0.0
Dragon Inn,https://www.rogerebert.com/reviews/dragon-inn-2016,Simon Abrams,4.0,False,2016,-0.08661417322834641,-0.21321321321321296,-0.008264462809917328,0.892973243310828,-0.4946118050453099,False,0.0
Sin Alas,https://www.rogerebert.com/reviews/sin-alas-2016,Sheila O'Malley,3.5,False,2016,-0.11811023622047234,0.033033033033032844,-0.31404958677685946,-0.9327831957989496,-0.30529022777369585,False,0.15677068
A Beautiful Planet,https://www.rogerebert.com/reviews/a-beautiful-planet-2016,Nick Allen,3.5,False,2016,-1.0,0.29129129129129083,0.25619834710743805,0.9987996999249815,-0.6225814352192016,False,0.0
