mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
0.0007505416870117188,0.0002153876135509634,0.006895542144775391,0.002208518428046334,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.7346938775510203,0.8571428571428571,0.7964601769911505,0.766355140186916,0.890909090909091,0.8091122285562069,0.05748739332090255,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier()
0.0013020992279052734,0.00018010547871664302,0.006982612609863281,0.0013235067836740767,uniform,2,"{'weights': 'uniform', 'n_neighbors': 2}",0.6352941176470588,0.7826086956521738,0.7916666666666666,0.7234042553191489,0.8316831683168318,0.752931380720376,0.06825450350911641,49,0.9142857142857143,0.8702702702702703,0.8976377952755905,0.9147286821705426,0.877005347593583,0.89478556191914,0.018456731936575616,KNeighborsClassifier()
0.0010546207427978515,0.0002327726192842279,0.008704376220703126,0.0034328625485003177,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.7692307692307692,0.9245283018867925,0.8108108108108109,0.8148148148148148,0.8947368421052632,0.8428243077696902,0.05761225299124237,11,0.91725768321513,0.9002320185614848,0.9272727272727274,0.9128440366972477,0.9086757990867579,0.9132564529666695,0.008980580801325095,KNeighborsClassifier()
0.0009012222290039062,0.0002912378729229954,0.007694911956787109,0.002379194601821859,uniform,4,"{'weights': 'uniform', 'n_neighbors': 4}",0.6808510638297872,0.8484848484848485,0.8155339805825242,0.7920792079207921,0.8727272727272727,0.8019352747090449,0.06651589701769374,48,0.8970588235294117,0.8663366336633663,0.889423076923077,0.9012048192771084,0.8970588235294117,0.890216435384475,0.012532002868748168,KNeighborsClassifier()
0.0008892059326171875,0.0002938651348402876,0.009046220779418945,0.0026753094055478838,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.7326732673267327,0.9357798165137615,0.8214285714285715,0.8333333333333334,0.8947368421052632,0.8435903661415324,0.06930196453184012,10,0.903225806451613,0.8878718535469107,0.9049773755656108,0.8997772828507794,0.8898876404494382,0.8971479917728704,0.006984435483878571,KNeighborsClassifier()
0.0007566452026367187,0.00027208014866481273,0.008290767669677734,0.0047278491427465725,uniform,6,"{'weights': 'uniform', 'n_neighbors': 6}",0.74,0.8712871287128713,0.8224299065420562,0.8269230769230769,0.8849557522123893,0.8291191728780787,0.050769392722530136,24,0.900473933649289,0.8543689320388349,0.9006928406466513,0.8935185185185184,0.8805620608899297,0.8859232571486446,0.017389471740497,KNeighborsClassifier()
0.0007641792297363281,0.00026089387664111354,0.007700490951538086,0.0036550037402172516,uniform,7,"{'weights': 'uniform', 'n_neighbors': 7}",0.7766990291262137,0.8952380952380953,0.810344827586207,0.8363636363636363,0.8849557522123893,0.8407202681053082,0.04465274503711639,13,0.9011494252873564,0.8656036446469249,0.8999999999999999,0.8908685968819599,0.8818181818181818,0.8878879697268847,0.013152072754381797,KNeighborsClassifier()
0.00077362060546875,0.0002473466720587257,0.010055160522460938,0.003944763364528809,uniform,8,"{'weights': 'uniform', 'n_neighbors': 8}",0.74,0.8514851485148515,0.7818181818181817,0.8269230769230769,0.8849557522123893,0.8170364318936999,0.051132046461350326,36,0.8920187793427229,0.8416075650118203,0.8842592592592592,0.875,0.8790697674418604,0.8743910742111325,0.017350138332217196,KNeighborsClassifier()
0.000888824462890625,0.0002557723136185938,0.010155344009399414,0.00273401362711936,uniform,9,"{'weights': 'uniform', 'n_neighbors': 9}",0.7647058823529412,0.8952380952380953,0.7931034482758621,0.8363636363636363,0.8849557522123893,0.8348733628885849,0.05064102810669166,18,0.898148148148148,0.8512585812356979,0.8838268792710706,0.8853932584269663,0.8858447488584474,0.8808943231880659,0.015680042695109347,KNeighborsClassifier()
0.0008292198181152344,0.0003342199229977751,0.008096551895141602,0.0031631720270661142,uniform,10,"{'weights': 'uniform', 'n_neighbors': 10}",0.7524752475247525,0.8627450980392157,0.8214285714285715,0.819047619047619,0.8928571428571429,0.8297107357794603,0.04738429015495384,23,0.8820754716981132,0.8477751756440282,0.8770301624129929,0.8812785388127854,0.8790697674418604,0.8734458232019561,0.01295593029808385,KNeighborsClassifier()
0.0006968021392822265,0.0003018418608614755,0.011079883575439453,0.001631021207578845,uniform,11,"{'weights': 'uniform', 'n_neighbors': 11}",0.7884615384615384,0.8952380952380953,0.8235294117647058,0.8148148148148148,0.9026548672566372,0.8449397455071583,0.04564353399000219,9,0.8764568764568764,0.8538283062645011,0.8858447488584474,0.8764044943820225,0.8747152619589976,0.873449937584169,0.010564202716716752,KNeighborsClassifier()
0.0009417057037353516,0.00021411073737894859,0.007983589172363281,0.002518696270043776,uniform,12,"{'weights': 'uniform', 'n_neighbors': 12}",0.7884615384615384,0.8846153846153846,0.8,0.8380952380952382,0.9026548672566372,0.8427654056857599,0.045028366010675266,12,0.8735083532219571,0.8524590163934426,0.8697674418604651,0.8767123287671234,0.8604651162790699,0.8665824513044115,0.008917621892857053,KNeighborsClassifier()
0.0007918834686279297,0.0002970176746392993,0.01137714385986328,0.0030883065088754473,uniform,13,"{'weights': 'uniform', 'n_neighbors': 13}",0.8113207547169812,0.8952380952380953,0.8070175438596492,0.8598130841121494,0.9026548672566372,0.8552088690367023,0.04030689989242713,1,0.8790697674418604,0.8505747126436781,0.880184331797235,0.8798185941043084,0.8663594470046083,0.8712013705983381,0.011539194462404562,KNeighborsClassifier()
