momentum,learning_rate,hidden_dim,epochs,dropout_rate,batch_size,best_vloss,best_epoch,training_f1_score,testing_f1_score
0.4,0.005,16,300,0.05,4,0.07215545326471329,253,0.8676716917922948,0.923076923076923
0.7000000000000001,0.005,16,400,0.30000000000000004,16,0.16620823740959167,399,0.8368336025848142,0.9041095890410958
1.0,0.01,4,150,0.30000000000000004,16,0.11621126532554626,34,0.23883318140382861,0.24043715846994537
0.1,0.01,32,400,0.1,32,0.37850260734558105,397,0.7860394537177541,0.8552631578947368
1.0,0.02,16,50,0.4,16,0.3921794295310974,15,0.23883318140382861,0.24043715846994537
0.2,0.02,16,50,0.15000000000000002,8,0.5123641490936279,49,0.7410586552217453,0.8024691358024691
1.0,0.02,16,150,0.4,8,0.39927056431770325,4,0.23883318140382861,0.24043715846994537
0.5,0.015,8,150,0.0,16,0.07565686851739883,144,0.8647746243739566,0.9166666666666666
0.6000000000000001,0.01,16,450,0.25,16,0.07724596560001373,439,0.8464052287581699,0.9166666666666666
0.8,0.01,4,250,0.25,32,0.6543906331062317,12,0.3384615384615384,0.2340425531914893
0.0,0.02,32,400,0.1,8,0.0710555762052536,367,0.8633333333333333,0.9166666666666666
0.4,0.015,16,150,0.2,32,0.6524986028671265,93,0.0,0.0
0.2,0.015,8,350,0.4,16,0.637586772441864,303,0.4861751152073732,0.5436893203883495
0.8,0.01,32,250,0.4,4,0.06102874502539635,205,0.8519736842105263,0.9166666666666666
0.8,0.015,16,400,0.4,4,0.05873981863260269,389,0.8618968386023294,0.923076923076923
0.2,0.015,4,350,0.0,32,0.1376519501209259,349,0.8561983471074379,0.9103448275862069
0.0,0.005,16,250,0.2,16,0.6302903890609741,0,0.23883318140382861,0.24043715846994537
0.7000000000000001,0.02,32,450,0.1,32,0.06967097520828247,448,0.8618968386023294,0.9166666666666666
0.9,0.02,4,200,0.4,4,0.06184350699186325,107,0.7848484848484849,0.868421052631579
0.6000000000000001,0.01,4,400,0.0,8,0.06383147835731506,233,0.8730964467005077,0.9295774647887324
0.0,0.015,4,200,0.0,16,0.6384072303771973,188,0.5847554038680318,0.6439024390243903
0.8,0.01,32,400,0.05,8,0.06245025247335434,245,0.8809523809523809,0.9295774647887324
0.8,0.01,32,250,0.30000000000000004,16,0.07837562263011932,244,0.8547854785478548,0.9166666666666666
0.4,0.015,32,100,0.1,32,0.6353776454925537,90,0.27540106951871657,0.23121387283236994
0.7000000000000001,0.02,4,400,0.2,8,0.06637751311063766,300,0.8676716917922948,0.9295774647887324
0.30000000000000004,0.015,16,150,0.1,16,0.44918400049209595,149,0.7993827160493827,0.8666666666666668
0.8,0.02,8,300,0.30000000000000004,32,0.08241733908653259,294,0.8519736842105263,0.9166666666666666
0.30000000000000004,0.015,4,350,0.0,8,0.06271642446517944,260,0.8775510204081631,0.9295774647887324
0.2,0.01,4,350,0.30000000000000004,8,0.5514298677444458,349,0.7987321711568938,0.8456375838926175
0.0,0.005,16,100,0.2,16,0.6661808490753174,39,0.39067055393586003,0.3333333333333333
0.2,0.01,8,500,0.15000000000000002,4,0.06877438724040985,422,0.8604651162790697,0.923076923076923
0.7000000000000001,0.02,8,50,0.2,16,0.6294071078300476,48,0.35181382614647505,0.37249283667621774
0.7000000000000001,0.005,8,150,0.05,4,0.06790244579315186,147,0.8662207357859533,0.923076923076923
0.1,0.01,32,450,0.1,4,0.06792059540748596,409,0.8604651162790697,0.9166666666666666
1.0,0.02,16,200,0.15000000000000002,16,0.3923041820526123,187,0.0,0.0
0.1,0.005,32,250,0.2,4,0.09171105921268463,247,0.8450244698205547,0.9103448275862069
0.5,0.02,16,250,0.05,8,0.0657227486371994,166,0.8790459965928449,0.9295774647887324
0.1,0.015,16,50,0.05,4,0.10680277645587921,49,0.8477905073649754,0.9103448275862069
0.9,0.015,4,200,0.2,4,0.06664028763771057,85,0.8790459965928449,0.9295774647887324
1.0,0.015,4,250,0.05,4,0.39911720156669617,9,0.23883318140382861,0.24043715846994537
0.5,0.02,8,150,0.0,32,0.19458098709583282,149,0.8464052287581699,0.9166666666666666
0.2,0.02,4,50,0.25,8,0.6434805393218994,17,0.23883318140382861,0.24043715846994537
0.2,0.015,4,250,0.30000000000000004,16,0.6266307830810547,0,0.23883318140382861,0.24043715846994537
1.0,0.01,8,100,0.0,16,0.08173445612192154,17,0.3224615384615385,0.3275434243176179
0.6000000000000001,0.02,8,50,0.05,16,0.6455062031745911,0,0.23883318140382861,0.24043715846994537
0.5,0.005,16,250,0.0,4,0.0654296800494194,213,0.8662207357859533,0.923076923076923
0.30000000000000004,0.005,4,200,0.05,32,0.6816766262054443,145,0.3113487819370172,0.3259259259259259
0.7000000000000001,0.005,8,450,0.05,4,0.06390412151813507,346,0.8691275167785235,0.923076923076923
0.0,0.015,16,350,0.4,4,0.0711604505777359,345,0.8436482084690555,0.9166666666666666
0.7000000000000001,0.005,4,150,0.25,8,0.643189013004303,145,0.5947187141216992,0.6435643564356436
0.2,0.015,16,100,0.25,32,0.6600015163421631,31,0.0,0.0
0.8,0.02,16,150,0.0,8,0.056507714092731476,31,0.8764805414551607,0.9295774647887324
0.8,0.02,4,450,0.1,32,0.06774700433015823,369,0.8760611205432939,0.9295774647887324
0.0,0.02,16,450,0.05,8,0.06898128986358643,433,0.859038142620232,0.9166666666666666
0.9,0.015,4,350,0.15000000000000002,32,0.06499715894460678,312,0.8604651162790697,0.923076923076923
0.1,0.01,32,300,0.25,16,0.4813394248485565,294,0.7347517730496453,0.7926829268292682
0.30000000000000004,0.005,8,400,0.2,32,0.6711915135383606,69,0.0,0.0
0.30000000000000004,0.01,8,200,0.05,32,0.672694742679596,84,0.2389420884632923,0.24087591240875916
0.9,0.01,4,350,0.05,8,0.060350723564624786,144,0.8720538720538721,0.9295774647887324
0.9,0.015,16,350,0.25,32,0.06518041342496872,332,0.8604651162790697,0.9166666666666666
0.7000000000000001,0.005,8,100,0.35000000000000003,32,0.6723774671554565,85,0.0,0.0
0.1,0.02,8,400,0.4,8,0.08306410163640976,399,0.8436482084690555,0.9103448275862069
0.8,0.01,16,350,0.30000000000000004,4,0.06211826577782631,256,0.8633333333333333,0.923076923076923
0.0,0.015,8,500,0.30000000000000004,16,0.2563561797142029,499,0.8043478260869565,0.8918918918918919
0.2,0.02,32,500,0.0,8,0.06425493210554123,451,0.8720538720538721,0.9295774647887324
0.5,0.01,8,250,0.2,32,0.6633018255233765,100,0.23883318140382861,0.24043715846994537
0.0,0.015,8,50,0.30000000000000004,32,0.6743255853652954,34,0.0,0.0
0.5,0.01,4,300,0.30000000000000004,16,0.6606505513191223,4,0.0,0.0
0.0,0.005,4,150,0.30000000000000004,8,0.5878214240074158,0,0.0,0.0
1.0,0.015,32,350,0.30000000000000004,32,0.05314495787024498,49,0.7954545454545455,0.8181818181818182
1.0,0.01,4,250,0.2,8,0.1021878644824028,6,0.23883318140382861,0.24043715846994537
0.4,0.02,4,250,0.15000000000000002,4,0.06811291724443436,220,0.8676716917922948,0.9295774647887324
0.8,0.015,16,200,0.1,8,0.06171799823641777,188,0.8676716917922948,0.923076923076923
0.7000000000000001,0.02,4,50,0.1,4,0.0662446916103363,48,0.8779661016949153,0.9295774647887324
1.0,0.015,32,200,0.25,8,0.06292664259672165,2,0.23883318140382861,0.24043715846994537
0.30000000000000004,0.015,16,50,0.4,32,0.6644030213356018,15,0.0,0.0
0.2,0.02,8,350,0.4,8,0.09135947376489639,345,0.857615894039735,0.9166666666666666
0.30000000000000004,0.02,4,450,0.35000000000000003,16,0.5964524149894714,446,0.8100470957613815,0.8707482993197279
0.6000000000000001,0.01,16,450,0.05,32,0.0797257125377655,446,0.8647746243739566,0.9166666666666666
0.2,0.005,16,200,0.35000000000000003,32,0.6461594104766846,0,0.23883318140382861,0.24043715846994537
0.30000000000000004,0.01,8,250,0.4,16,0.6469821333885193,32,0.23883318140382861,0.24043715846994537
0.6000000000000001,0.02,16,50,0.0,32,0.6257041692733765,28,0.7355623100303951,0.7712418300653594
0.6000000000000001,0.015,8,100,0.15000000000000002,8,0.08493250608444214,97,0.8547854785478548,0.9166666666666666
0.2,0.01,32,400,0.1,8,0.07445412129163742,393,0.8647746243739566,0.9166666666666666
0.8,0.02,16,350,0.4,32,0.07342451810836792,346,0.8327974276527331,0.9041095890410958
0.30000000000000004,0.005,32,150,0.35000000000000003,8,0.6455976366996765,14,0.27377220480668757,0.28695652173913044
0.6000000000000001,0.01,16,450,0.35000000000000003,32,0.3403429687023163,449,0.8436482084690555,0.9027777777777777
0.6000000000000001,0.01,16,100,0.30000000000000004,8,0.6213173866271973,70,0.23883318140382861,0.24043715846994537
0.8,0.01,4,200,0.4,4,0.06424638628959656,179,0.8491803278688523,0.9166666666666666
0.1,0.02,32,450,0.30000000000000004,4,0.06359567493200302,443,0.8561983471074379,0.9166666666666666
0.2,0.02,32,200,0.35000000000000003,32,0.6409437656402588,41,0.23883318140382861,0.24043715846994537
0.0,0.01,4,150,0.0,32,0.6661383509635925,0,0.0,0.0
0.8,0.015,4,300,0.25,16,0.06490591168403625,299,0.8691275167785235,0.923076923076923
0.5,0.02,8,50,0.25,32,0.6548372507095337,6,0.2571428571428572,0.208
0.1,0.015,32,350,0.1,8,0.07059130817651749,272,0.8647746243739566,0.9166666666666666
0.5,0.02,16,500,0.30000000000000004,32,0.09079849720001221,465,0.857615894039735,0.9166666666666666
0.1,0.015,8,250,0.1,32,0.6557974219322205,248,0.6230366492146597,0.6813186813186812
0.2,0.01,16,300,0.25,4,0.07339480519294739,295,0.8491803278688523,0.9166666666666666
0.2,0.015,32,500,0.05,8,0.06685128808021545,440,0.8604651162790697,0.9166666666666666
1.0,0.01,32,250,0.30000000000000004,8,0.05101432651281357,8,0.2915811088295688,0.24299065420560748
0.7000000000000001,0.01,16,150,0.0,8,0.06447290629148483,115,0.8705882352941177,0.9295774647887324
0.8,0.005,8,50,0.35000000000000003,4,0.6428771018981934,3,0.23883318140382861,0.24043715846994537
0.0,0.01,4,150,0.1,32,0.6159514784812927,0,0.2692307692307693,0.22580645161290322
0.9,0.01,4,300,0.1,4,0.06234725937247276,23,0.8760611205432939,0.9295774647887324
0.4,0.015,8,50,0.4,16,0.6635699272155762,46,0.0,0.0
0.1,0.01,16,350,0.2,16,0.21215566992759705,345,0.8144654088050314,0.9041095890410958
0.9,0.015,4,500,0.0,8,0.054035063832998276,102,0.8908145580589255,0.949640287769784
0.6000000000000001,0.02,16,150,0.4,32,0.6334389448165894,90,0.0076045627376425855,0.029411764705882356
0.2,0.015,8,100,0.4,4,0.6299941539764404,76,0.36746987951807236,0.27499999999999997
0.30000000000000004,0.005,4,350,0.15000000000000002,16,0.673507809638977,82,0.0,0.0
0.9,0.01,16,250,0.4,32,0.11047554016113281,242,0.8381877022653722,0.9103448275862069
0.5,0.01,32,500,0.15000000000000002,4,0.06529735773801804,477,0.8547854785478548,0.9166666666666666
0.2,0.015,8,200,0.25,4,0.07265209406614304,192,0.859038142620232,0.9166666666666666
0.0,0.005,16,400,0.4,16,0.6575024127960205,236,0.2971576227390181,0.26373626373626374
0.2,0.005,8,150,0.1,4,0.3219687342643738,148,0.7860394537177541,0.8571428571428571
0.9,0.015,4,200,0.25,4,0.06260736286640167,89,0.8547854785478548,0.9166666666666666
0.5,0.01,32,450,0.05,32,0.0790964737534523,422,0.859038142620232,0.9166666666666666
0.6000000000000001,0.02,8,100,0.35000000000000003,16,0.542511522769928,98,0.6860927152317879,0.7182320441988951
0.8,0.015,8,200,0.2,8,0.06339768320322037,151,0.8662207357859533,0.9166666666666666
0.2,0.02,32,300,0.4,4,0.06637286394834518,243,0.8491803278688523,0.9166666666666666
0.2,0.02,8,450,0.30000000000000004,16,0.08930625766515732,442,0.8464052287581699,0.9103448275862069
0.8,0.02,32,150,0.1,16,0.06833908706903458,149,0.8745762711864407,0.923076923076923
0.2,0.01,16,100,0.15000000000000002,16,0.6485776305198669,92,0.5496828752642705,0.6285714285714286
0.8,0.02,8,50,0.4,4,0.06979211419820786,49,0.8691275167785235,0.9166666666666666
0.7000000000000001,0.02,16,500,0.2,4,0.058685723692178726,192,0.8735244519392917,0.9295774647887324
0.30000000000000004,0.015,16,350,0.4,32,0.6486068964004517,38,0.23905109489051093,0.24043715846994537
0.6000000000000001,0.01,32,100,0.30000000000000004,16,0.615566074848175,23,0.5162644281217209,0.5575221238938053
