model,full_train_f1,full_test_f1,full_train_accuracy,full_test_accuracy
"DummyClassifier(random_state=0, strategy='most_frequent')",0,0,0.864389233954451,0.863354037267081
"DummyClassifier(random_state=0, strategy='stratified')",0.14336917562724,0.0869565217391304,0.752587991718427,0.739130434782609
DecisionTreeClassifier(random_state=0),0.869127516778524,0.923076923076923,0.959627329192547,0.977225672877847
"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(random_state=0),
                   random_state=0)",0.859060402684564,0.936170212765958,0.956521739130435,0.981366459627329
SVC(random_state=0),0.879456706281834,0.915492957746479,0.963250517598344,0.975155279503106
KNeighborsClassifier(),0.868131868131868,0.885496183206107,0.962732919254658,0.968944099378882
KNeighborsClassifier() [OVERSAMPLE],1,0.914285714285714,1,0.975155279503106
Nnet,0.880546,0.942857,,
