mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
0.002251338958740234,0.0009227347714966948,0.00105438232421875,0.00048412745258785337,random,2,2,sqrt,11,gini,balanced,0.04,"{'splitter': 'random', 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 11, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.04}",0.8480000000000001,0.8983050847457628,0.6756756756756757,0.6622516556291391,0.5531914893617021,0.7274847810824558,0.12729586775122181,1188,0.8356997971602433,0.8240000000000001,0.7160493827160493,0.7291666666666666,0.556149732620321,0.732213115832656,0.10040237780680937,DecisionTreeClassifier(random_state=0)
0.0033136844635009766,0.000633126390175471,0.0008098125457763672,0.0004918324519138255,best,3,4,,26,gini,balanced,0.03,"{'splitter': 'best', 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 26, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.8717948717948717,0.9369369369369369,0.8160000000000001,0.8166666666666668,0.8739495798319328,0.8630696110460816,0.0447653152815654,245,0.891304347826087,0.8768898488120951,0.8846153846153846,0.8750000000000001,0.8607068607068606,0.8777032883920854,0.0102918793042626,DecisionTreeClassifier(random_state=0)
0.0062639713287353516,0.00047903752478609086,0.0016658306121826172,0.0009563209525440987,best,4,2,,13,gini,balanced,0.04,"{'splitter': 'best', 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 13, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.04}",0.8717948717948717,0.9369369369369369,0.8160000000000001,0.8166666666666668,0.8739495798319328,0.8630696110460816,0.0447653152815654,245,0.891304347826087,0.8768898488120951,0.8846153846153846,0.8750000000000001,0.8607068607068606,0.8777032883920854,0.0102918793042626,DecisionTreeClassifier(random_state=0)
0.0031377315521240235,0.0005963494980022076,0.001330089569091797,0.00041972634118510815,best,9,1,sqrt,9,entropy,balanced,0.04,"{'splitter': 'best', 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 9, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.04}",0.8717948717948717,0.9380530973451328,0.8160000000000001,0.8166666666666668,0.8739495798319328,0.8632928431277207,0.04513437599385322,27,0.891304347826087,0.8459958932238194,0.8846153846153846,0.8750000000000001,0.8607068607068606,0.8715244972744303,0.016391606535637454,DecisionTreeClassifier(random_state=0)
0.00140380859375,0.0004281564363504206,0.0004668712615966797,4.310338889648018e-05,best,6,2,,1,entropy,balanced,0.0,"{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 1, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.0}",0.8717948717948717,0.9380530973451328,0.8160000000000001,0.8166666666666668,0.8739495798319328,0.8632928431277207,0.04513437599385322,27,0.891304347826087,0.8459958932238194,0.8846153846153846,0.8750000000000001,0.8607068607068606,0.8715244972744303,0.016391606535637454,DecisionTreeClassifier(random_state=0)
0.0009197711944580079,0.0001303753714292758,0.0004123687744140625,2.1223592850259102e-05,random,9,2,sqrt,28,gini,balanced,0.03,"{'splitter': 'random', 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 28, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.8480000000000001,0.8983050847457628,0.42448979591836733,0.6622516556291391,0.5531914893617021,0.6772476051309942,0.1774959707296634,1259,0.8356997971602433,0.8240000000000001,0.43076923076923085,0.7291666666666666,0.556149732620321,0.6751570854432923,0.15794517017067225,DecisionTreeClassifier(random_state=0)
0.001002931594848633,0.00019796528490786895,0.0004119873046875,1.1424206305228175e-05,random,5,4,,21,entropy,balanced,0.05,"{'splitter': 'random', 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 21, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.05}",0.8548387096774194,0.9137931034482758,0.7536231884057971,0.8166666666666668,0.7647058823529412,0.8207255101102202,0.05913151747881415,901,0.8408163265306121,0.8289738430583502,0.7666666666666666,0.8750000000000001,0.7946257197696738,0.8212165112050606,0.03746931638969775,DecisionTreeClassifier(random_state=0)
0.0009447574615478515,0.0001723454408929334,0.00041642189025878904,2.6317177998801685e-05,random,9,5,,11,entropy,balanced,0.03,"{'splitter': 'random', 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 11, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.8548387096774194,0.9137931034482758,0.7536231884057971,0.8166666666666668,0.8455284552845529,0.8368900246965424,0.052255548093836424,808,0.8408163265306121,0.8289738430583502,0.7666666666666666,0.8750000000000001,0.8448979591836735,0.8312709590878604,0.03568761558754009,DecisionTreeClassifier(random_state=0)
0.0008715152740478516,9.97585729715624e-05,0.0004343986511230469,2.7933867963210604e-05,random,8,5,sqrt,23,entropy,balanced,0.01,"{'splitter': 'random', 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 23, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.01}",0.8480000000000001,0.8983050847457628,0.734375,0.6622516556291391,0.5531914893617021,0.7392246459473208,0.12465581359177529,1144,0.8356997971602433,0.8240000000000001,0.7822580645161291,0.7291666666666666,0.556149732620321,0.7454548521926719,0.101754312004585,DecisionTreeClassifier(random_state=0)
0.0009637832641601563,0.00017779214746259101,0.0004307270050048828,3.2536441116832774e-05,random,5,5,sqrt,17,entropy,balanced,0.06,"{'splitter': 'random', 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 17, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.06}",0.8480000000000001,0.8983050847457628,0.42448979591836733,0.6622516556291391,0.5531914893617021,0.6772476051309942,0.1774959707296634,1259,0.8356997971602433,0.8240000000000001,0.43076923076923085,0.7291666666666666,0.556149732620321,0.6751570854432923,0.15794517017067225,DecisionTreeClassifier(random_state=0)
