momentum,learning_rate,hidden_dim,epochs,dropout_rate,batch_size,best_vloss,best_epoch,training_f1_score,testing_f1_score
0.4,0.005,16,300,0.05,4,0.48111987113952637,294,0.6289308176100629,0.32608695652173914
0.7000000000000001,0.005,16,400,0.30000000000000004,16,0.5497153401374817,280,0.4454545454545455,0.33333333333333337
1.0,0.01,4,150,0.30000000000000004,16,0.373299241065979,81,0.0,0.0
0.1,0.01,32,400,0.1,32,0.5755131840705872,353,0.3669141039236479,0.30042918454935624
1.0,0.02,16,50,0.4,16,0.37328076362609863,30,0.0,0.0
0.2,0.02,16,50,0.15000000000000002,8,0.5566193461418152,33,0.36461704422869473,0.2959641255605381
1.0,0.02,16,150,0.4,8,0.37696993350982666,24,0.22519238558120697,0.22366288492706646
0.5,0.015,8,150,0.0,16,0.5301966667175293,137,0.4119922630560928,0.2833333333333333
0.6000000000000001,0.01,16,450,0.25,16,0.5389504432678223,433,0.4684129429892142,0.3333333333333333
0.8,0.01,4,250,0.25,32,0.5444490909576416,243,0.47301587301587295,0.3221476510067114
0.0,0.02,32,400,0.1,8,0.5132337212562561,339,0.6202365308804205,0.30337078651685395
0.4,0.015,16,150,0.2,32,0.6067468523979187,142,0.36008676789587846,0.30357142857142855
0.2,0.015,8,350,0.4,16,0.5938042402267456,341,0.35245046923879036,0.27755102040816326
0.8,0.01,32,250,0.4,4,0.5126626491546631,54,0.4412955465587044,0.2821576763485477
0.8,0.015,16,400,0.4,4,0.5128398537635803,55,0.5498281786941581,0.2575107296137339
0.2,0.015,4,350,0.0,32,0.5590698719024658,321,0.42010309278350516,0.3118279569892473
0.0,0.005,16,250,0.2,16,0.6379289031028748,236,0.3116883116883117,0.2545454545454546
0.7000000000000001,0.02,32,450,0.1,32,0.49459946155548096,383,0.6587926509186351,0.2903225806451613
0.9,0.02,4,200,0.4,4,0.4664374887943268,151,0.5792563600782779,0.30769230769230765
0.6000000000000001,0.01,4,400,0.0,8,0.51080322265625,146,0.5182863113897597,0.25550660792951546
0.0,0.015,4,200,0.0,16,0.5464481115341187,151,0.43279569892473113,0.32584269662921345
0.8,0.01,32,400,0.05,8,0.4969369173049927,11,0.9437819420783646,0.32167832167832167
0.8,0.01,32,250,0.30000000000000004,16,0.5310109257698059,155,0.42993197278911566,0.3181818181818181
0.4,0.015,32,100,0.1,32,0.5858685970306396,91,0.33396226415094343,0.2727272727272727
0.7000000000000001,0.02,4,400,0.2,8,0.5373136401176453,41,0.49728555917480993,0.27555555555555555
0.30000000000000004,0.015,16,150,0.1,16,0.558863639831543,122,0.41012658227848103,0.3118279569892473
0.8,0.02,8,300,0.30000000000000004,32,0.5333167314529419,155,0.47692307692307695,0.32098765432098764
0.30000000000000004,0.015,4,350,0.0,8,0.5018995404243469,86,0.4706994328922495,0.2595419847328244
0.2,0.01,4,350,0.30000000000000004,8,0.5736623406410217,332,0.44602272727272724,0.323699421965318
0.0,0.005,16,100,0.2,16,0.6732797622680664,0,0.29942857142857143,0.3287671232876712
0.2,0.01,8,500,0.15000000000000002,4,0.533770740032196,350,0.5452488687782805,0.28292682926829266
0.7000000000000001,0.02,8,50,0.2,16,0.5586381554603577,43,0.34563106796116505,0.2948207171314741
0.7000000000000001,0.005,8,150,0.05,4,0.5366378426551819,120,0.5117565698478562,0.3111111111111111
0.1,0.01,32,450,0.1,4,0.5034167170524597,176,0.7776183644189384,0.2625
1.0,0.02,16,200,0.15000000000000002,16,0.3732811212539673,176,0.22519238558120697,0.22366288492706646
0.1,0.005,32,250,0.2,4,0.5278037190437317,206,0.4133504492939666,0.34408602150537637
0.5,0.02,16,250,0.05,8,0.5146206617355347,115,0.7547683923705722,0.24
0.1,0.015,16,50,0.05,4,0.5483066439628601,33,0.40142517814726847,0.31313131313131315
0.9,0.015,4,200,0.2,4,0.5010314583778381,37,0.41919191919191917,0.25165562913907286
1.0,0.015,4,250,0.05,4,0.38107532262802124,21,0.22519238558120697,0.22366288492706646
0.5,0.02,8,150,0.0,32,0.5393049716949463,122,0.4229390681003585,0.30927835051546393
0.2,0.02,4,50,0.25,8,0.6061645150184631,46,0.35840707964601765,0.30697674418604654
0.2,0.015,4,250,0.30000000000000004,16,0.6434024572372437,214,0.33527131782945735,0.2585551330798479
1.0,0.01,8,100,0.0,16,0.37274467945098877,77,0.22721700040866366,0.2251223491027732
0.6000000000000001,0.02,8,50,0.05,16,0.5591852068901062,49,0.4262295081967213,0.3146067415730337
0.5,0.005,16,250,0.0,4,0.5023483633995056,123,0.7703081232492996,0.23121387283236994
0.30000000000000004,0.005,4,200,0.05,32,0.5385174751281738,0,0.31658767772511853,0.26771653543307083
0.7000000000000001,0.005,8,450,0.05,4,0.5229269862174988,190,0.6501854140914709,0.24742268041237114
0.0,0.015,16,350,0.4,4,0.5184282064437866,125,0.4897959183673469,0.30463576158940403
0.7000000000000001,0.005,4,150,0.25,8,0.5835350751876831,144,0.41229193341869397,0.3152173913043478
0.2,0.015,16,100,0.25,32,0.6503098011016846,0,0.3203125,0.2709163346613546
0.8,0.02,16,150,0.0,8,0.47286257147789,33,0.9586206896551724,0.3513513513513513
0.8,0.02,4,450,0.1,32,0.5295493006706238,384,0.5213270142180094,0.30872483221476504
0.0,0.02,16,450,0.05,8,0.5281066298484802,169,0.7100130039011703,0.2359550561797753
0.9,0.015,4,350,0.15000000000000002,32,0.5221410393714905,105,0.5304212168486738,0.30666666666666664
0.1,0.01,32,300,0.25,16,0.5593554973602295,284,0.38734177215189874,0.30927835051546393
0.30000000000000004,0.005,8,400,0.2,32,0.5492389798164368,0,0.34736842105263155,0.2650602409638554
0.30000000000000004,0.01,8,200,0.05,32,0.6214015483856201,199,0.36426116838487976,0.29333333333333333
0.9,0.01,4,350,0.05,8,0.5049701929092407,81,0.44173140954495005,0.29824561403508776
0.9,0.015,16,350,0.25,32,0.5176624655723572,90,0.5274151436031331,0.2947368421052632
0.7000000000000001,0.005,8,100,0.35000000000000003,32,0.6697843074798584,1,0.22519238558120697,0.22366288492706646
0.1,0.02,8,400,0.4,8,0.5416064262390137,229,0.480243161094225,0.35000000000000003
0.8,0.01,16,350,0.30000000000000004,4,0.49796295166015625,35,0.5776173285198556,0.25
0.0,0.015,8,500,0.30000000000000004,16,0.5522149205207825,461,0.4544095665171899,0.3037974683544304
0.2,0.02,32,500,0.0,8,0.4972319006919861,116,0.9652777777777778,0.23943661971830985
0.5,0.01,8,250,0.2,32,0.6251067519187927,226,0.33802816901408456,0.2753036437246964
0.0,0.015,8,50,0.30000000000000004,32,0.6366950869560242,0,0.22519238558120697,0.22366288492706646
0.5,0.01,4,300,0.30000000000000004,16,0.5871044397354126,288,0.4057591623036649,0.32608695652173914
