mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
0.001735687255859375,0.0006783959082459735,0.03933553695678711,0.0014936990722543674,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.9387254901960783,0.9294403892944039,0.9420468557336622,0.942189421894219,0.942189421894219,0.9389183158025164,0.004920493975909355,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.0013369083404541015,0.0005153827228497206,0.02096529006958008,0.005047296946993345,distance,1,"{'weights': 'distance', 'n_neighbors': 1}",0.9387254901960783,0.9294403892944039,0.9420468557336622,0.942189421894219,0.942189421894219,0.9389183158025164,0.004920493975909355,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.001276397705078125,0.00038367191881258215,0.025569725036621093,0.003102335882051814,uniform,2,"{'weights': 'uniform', 'n_neighbors': 2}",0.932182490752158,0.9281364190012181,0.9379652605459057,0.9356435643564357,0.9368029739776952,0.9341461417266826,0.0035737765202703085,4,0.9986910994764397,0.999673309376021,0.9993464052287581,0.999345977763244,0.9990186457311089,0.9992150875151143,0.000333915172450147,KNeighborsClassifier() [OVERSAMPLE]
0.0009550094604492187,0.00040865246583585136,0.014752817153930665,0.0010059511271566727,distance,2,"{'weights': 'distance', 'n_neighbors': 2}",0.9387254901960783,0.9294403892944039,0.9420468557336622,0.942189421894219,0.942189421894219,0.9389183158025164,0.004920493975909355,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.0010590553283691406,0.0007512292868954339,0.024820756912231446,0.0023377337002560544,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.892271662763466,0.8791714614499424,0.9053892215568863,0.8925619834710744,0.9017751479289942,0.8942338954340727,0.009108615199802684,7,0.9362745098039216,0.9412849677221027,0.9403444034440344,0.9377109542804541,0.9374233128834356,0.9386076296267897,0.0018886293178946346,KNeighborsClassifier() [OVERSAMPLE]
0.0011104583740234376,0.0005895474625686663,0.013736820220947266,0.002621649384454904,distance,3,"{'weights': 'distance', 'n_neighbors': 3}",0.8948598130841121,0.8791714614499424,0.9106078665077474,0.900117508813161,0.905437352245863,0.8980388004201652,0.0107992912759563,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.001035928726196289,0.0004963140039359307,0.025696706771850587,0.001986797249709682,uniform,4,"{'weights': 'uniform', 'n_neighbors': 4}",0.8772348033373063,0.8701754385964913,0.8998793727382388,0.8795180722891567,0.8918269230769231,0.8837269220076234,0.010677231901124202,8,0.930778739184178,0.9385233240654928,0.9382334774552193,0.9346951408232747,0.9346485819975339,0.9353758527051397,0.0028354308049879633,KNeighborsClassifier() [OVERSAMPLE]
0.0009125232696533203,0.0003795359472915811,0.014635181427001953,0.002465691824443263,distance,4,"{'weights': 'distance', 'n_neighbors': 4}",0.8948598130841121,0.881199538638985,0.9106078665077474,0.900117508813161,0.9043683589138135,0.8982306171915637,0.00995839837594969,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.0011300086975097657,0.0008254723821745326,0.02575716972351074,0.008486236848541532,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.8578034682080925,0.8294314381270903,0.8620689655172414,0.8488372093023255,0.8558352402745995,0.8507952642858697,0.011505300231613193,52,0.8898704358068316,0.8969589607322115,0.8902546093064092,0.8942848682262363,0.8912342421577251,0.8925206232458827,0.0027064548373551883,KNeighborsClassifier() [OVERSAMPLE]
0.0006667137145996094,0.00030813579474550217,0.01603541374206543,0.0040241783317487255,distance,5,"{'weights': 'distance', 'n_neighbors': 5}",0.8734321550741164,0.8423373759647188,0.8731428571428572,0.8754285714285714,0.8694665153234961,0.866761494986752,0.012362786320579298,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.001240682601928711,0.0005289775428883726,0.022145557403564452,0.005360337586136628,uniform,6,"{'weights': 'uniform', 'n_neighbors': 6}",0.8337349397590362,0.8128587830080368,0.8245398773006135,0.8339307048984468,0.8317535545023697,0.8273635718937007,0.008016927883604537,55,0.8793468400362866,0.8896969696969699,0.8776934749620637,0.8879441238991801,0.881437125748503,0.8832237068686007,0.004753754349185417,KNeighborsClassifier() [OVERSAMPLE]
0.001268625259399414,0.0011605770930044126,0.015932416915893553,0.0006619958380161563,distance,6,"{'weights': 'distance', 'n_neighbors': 6}",0.8774341351660939,0.8451327433628318,0.8781609195402299,0.8754285714285714,0.8714448236632537,0.8695202386321961,0.01241493837593614,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier() [OVERSAMPLE]
0.0016323089599609374,0.0009353870568635875,0.023642635345458983,0.0016173588664961608,uniform,7,"{'weights': 'uniform', 'n_neighbors': 7}",0.8191365227537922,0.8013318534961155,0.8014101057579319,0.8097447795823666,0.8137142857142858,0.8090675094608983,0.00695575240695984,56,0.8526591107236269,0.861466821885914,0.8495781204538843,0.8571428571428572,0.8536023054755042,0.8548898431363574,0.0040787507834243635,KNeighborsClassifier() [OVERSAMPLE]
