model,full_train_f1,full_test_f1,full_train_accuracy,full_test_accuracy
"DummyClassifier(random_state=0, strategy='most_frequent')",0.0,0.0,0.8731172980374259,0.8740875912408759
"DummyClassifier(random_state=0, strategy='stratified')",0.15280135823429541,0.16783216783216784,0.7722501141031493,0.7828467153284672
DecisionTreeClassifier(random_state=0),0.3773584905660377,0.2909090909090909,0.8041989958922866,0.7864963503649635
"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(random_state=0),
                   random_state=0)",0.3631578947368421,0.3315508021390375,0.7790963030579644,0.7718978102189781
SVC(random_state=0),0.48562300319488816,0.35460992907801425,0.853035143769968,0.833941605839416
KNeighborsClassifier(),0.32891246684350134,0.3157894736842105,0.8845276129621178,0.8813868613138686
