mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
0.0007430076599121094,0.00032949077063103847,0.05887517929077148,0.005714560766016168,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.26315789473684215,0.2162162162162162,0.3214285714285714,0.16,0.2830188679245283,0.24876431006123162,0.05585539552787246,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNeighborsClassifier()
0.000971221923828125,0.0006155683782753454,0.03358955383300781,0.018458083897830706,uniform,2,"{'weights': 'uniform', 'n_neighbors': 2}",0.16,0.17391304347826086,0.22535211267605632,0.08571428571428572,0.16666666666666666,0.1623292217070539,0.04472171023704729,49,0.43109540636042404,0.42402826855123676,0.4184397163120567,0.4583333333333333,0.43661971830985913,0.43370328857338203,0.013773368270160256,KNeighborsClassifier()
0.0011274337768554688,0.0004401128030484409,0.013121843338012695,0.0021105342350692664,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.2588235294117647,0.275,0.2988505747126437,0.2696629213483146,0.3111111111111111,0.28268962731676683,0.019325491081340716,14,0.5402298850574712,0.5277777777777778,0.5388888888888889,0.5,0.4941176470588236,0.5202028397565923,0.01947420177564733,KNeighborsClassifier()
0.0006403923034667969,0.0002115988193974639,0.013269472122192382,0.002991081191669369,uniform,4,"{'weights': 'uniform', 'n_neighbors': 4}",0.1643835616438356,0.20588235294117643,0.2535211267605634,0.1891891891891892,0.24324324324324326,0.21124389475560154,0.03323362645643579,35,0.3986013986013986,0.3841059602649006,0.3298245614035088,0.36860068259385664,0.32167832167832167,0.36056218490839725,0.030075454775886423,KNeighborsClassifier()
0.0009196281433105468,0.0002795639530369542,0.01520843505859375,0.0033297819320488756,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.3170731707317073,0.275,0.2933333333333334,0.2716049382716049,0.3,0.2914022884673292,0.01671893486943907,11,0.40655737704918027,0.44171779141104295,0.4184615384615385,0.42138364779874216,0.3782051282051282,0.4132650965851264,0.02086463327748253,KNeighborsClassifier()
0.0008123874664306641,0.00036304020134777013,0.01588435173034668,0.0031210689097831675,uniform,6,"{'weights': 'uniform', 'n_neighbors': 6}",0.24657534246575344,0.19999999999999996,0.2571428571428571,0.26666666666666666,0.26086956521739135,0.2462508862985337,0.024034952238148638,31,0.3214285714285714,0.3624161073825503,0.3183391003460208,0.3517241379310345,0.2978723404255319,0.3303560515027418,0.02351059676634691,KNeighborsClassifier()
0.000781393051147461,0.0001991576252814947,0.014051008224487304,0.0019298439830012643,uniform,7,"{'weights': 'uniform', 'n_neighbors': 7}",0.3058823529411765,0.24324324324324323,0.2535211267605634,0.3,0.2777777777777778,0.2760849001445521,0.024699734113109252,16,0.3774834437086093,0.39873417721518983,0.3548387096774193,0.37012987012987014,0.34113712374581945,0.3684646648953816,0.01966120961038177,KNeighborsClassifier()
0.0007806301116943359,0.00038461625472518317,0.015553140640258789,0.0027207916990716,uniform,8,"{'weights': 'uniform', 'n_neighbors': 8}",0.275,0.2285714285714286,0.2647058823529412,0.2368421052631579,0.23188405797101452,0.24740069483170846,0.018804160507514173,30,0.28260869565217395,0.33999999999999997,0.28965517241379307,0.3087719298245614,0.2765957446808511,0.2995263085142759,0.022948014844337894,KNeighborsClassifier()
0.0008999347686767578,0.0003322825837569841,0.019750499725341798,0.005430748951671825,uniform,9,"{'weights': 'uniform', 'n_neighbors': 9}",0.3132530120481928,0.2162162162162162,0.273972602739726,0.30379746835443033,0.29333333333333333,0.28011452653837976,0.034509404799285714,15,0.35570469798657717,0.35714285714285715,0.3408360128617363,0.34551495016611294,0.34868421052631576,0.34957654573671987,0.006139919444710056,KNeighborsClassifier()
0.0009640693664550781,0.0006296794478393787,0.019604301452636717,0.006260889294826018,uniform,10,"{'weights': 'uniform', 'n_neighbors': 10}",0.30379746835443033,0.22535211267605632,0.2608695652173913,0.24657534246575344,0.25352112676056343,0.258023123094839,0.02577637480644249,23,0.3250883392226148,0.3412969283276451,0.3092783505154639,0.31316725978647686,0.30662020905923343,0.3190902173822868,0.01277474651250001,KNeighborsClassifier()
0.0011659622192382812,0.000659132412560753,0.015038061141967773,0.003103533737092893,uniform,11,"{'weights': 'uniform', 'n_neighbors': 11}",0.367816091954023,0.24324324324324323,0.273972602739726,0.2857142857142857,0.25000000000000006,0.28414924473025555,0.04459961119371486,13,0.3434343434343434,0.3583061889250814,0.3441558441558441,0.33676975945017185,0.3517915309446254,0.3468915333820132,0.007432237922513695,KNeighborsClassifier()
0.0007830142974853515,0.00023887444782937051,0.018628549575805665,0.004407761724096416,uniform,12,"{'weights': 'uniform', 'n_neighbors': 12}",0.3132530120481928,0.22222222222222227,0.2571428571428571,0.24657534246575344,0.23188405797101452,0.25421549837000806,0.031857910734668156,26,0.31578947368421056,0.33783783783783783,0.31141868512110726,0.30824372759856633,0.33676975945017185,0.32201189673837877,0.012718113743786879,KNeighborsClassifier()
0.0009093284606933594,0.00022324296632028148,0.016134357452392577,0.0021826998778774866,uniform,13,"{'weights': 'uniform', 'n_neighbors': 13}",0.367816091954023,0.23376623376623376,0.2894736842105263,0.2857142857142857,0.273972602739726,0.29014857967695895,0.043572909176267924,12,0.33333333333333337,0.380952380952381,0.3441558441558441,0.33557046979865773,0.35526315789473684,0.34985503722699063,0.01735389825807713,KNeighborsClassifier()
