mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
0.004842233657836914,0.00022288306309997482,0.0005498886108398438,2.1716045802350617e-05,random,11,4,,20,gini,balanced,0.0,"{'splitter': 'random', 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.0}",0.37209302325581395,0.30409356725146197,0.2808988764044944,0.29508196721311475,0.20731707317073172,0.29189690145912334,0.05265932996142838,315,0.6219686162624821,0.6488095238095238,0.6318840579710144,0.613861386138614,0.6486486486486486,0.6330344465660567,0.014028817548851753,DecisionTreeClassifier(random_state=0)
0.001806163787841797,0.0007086320725748854,0.00045523643493652346,8.107712554304135e-05,best,5,1,sqrt,4,gini,balanced,0.06,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 4, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.06}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.002510833740234375,0.00010221551438262143,0.0004878044128417969,1.5841474855160906e-05,best,5,1,sqrt,28,entropy,balanced,0.04,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 28, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.04}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.002258920669555664,0.00025603520668062156,0.00045261383056640627,2.021845780796273e-05,best,3,5,sqrt,13,entropy,balanced,0.03,"{'splitter': 'best', 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 13, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.0016044139862060546,0.00013157816583634545,0.00044360160827636717,2.622803767166886e-05,random,11,3,sqrt,21,gini,balanced,0.03,"{'splitter': 'random', 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 21, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.0014636516571044922,7.342874217830505e-05,0.00042743682861328124,2.713299801527864e-05,random,9,4,sqrt,10,entropy,balanced,0.06,"{'splitter': 'random', 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.06}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.002600860595703125,0.00040352611526777853,0.00047926902770996095,2.0206533694338315e-05,best,6,1,sqrt,20,entropy,balanced,0.03,"{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.001319122314453125,6.767315552630065e-05,0.0004038810729980469,2.4154520305469397e-05,random,8,3,sqrt,9,entropy,balanced,0.05,"{'splitter': 'random', 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 9, 'criterion': 'entropy', 'class_weight': 'balanced', 'ccp_alpha': 0.05}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
0.0009633541107177734,8.745908447957992e-05,0.0004086494445800781,2.03453625218231e-05,best,11,2,sqrt,2,gini,balanced,0.01,"{'splitter': 'best', 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 2, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.01}",0.3132530120481927,0.27555555555555555,0.26794258373205737,0.27309236947791166,0.24603174603174605,0.27517505336909265,0.021707391694450157,398,0.27464008859357697,0.284789644012945,0.2863202545068929,0.2857142857142857,0.26731707317073167,0.2797562691996865,0.007547550963766993,DecisionTreeClassifier(random_state=0)
0.0024059772491455077,0.0008484345158276324,0.0004429817199707031,6.75528657137924e-05,best,11,3,sqrt,24,gini,balanced,0.03,"{'splitter': 'best', 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 24, 'criterion': 'gini', 'class_weight': 'balanced', 'ccp_alpha': 0.03}",0.0,0.0,0.0,0.22672064777327935,0.22672064777327935,0.09068825910931175,0.11106998023956112,695,0.0,0.0,0.0,0.22481012658227847,0.22481012658227847,0.0899240506329114,0.1101340198274158,DecisionTreeClassifier(random_state=0)
